publisher_key	source_policy_key	external_publisher_key	name	domain	roaster_country_code	metadata
publisher.firstbloom.104	source_policy.firstbloom.a6cb002.derived_terms	104	Café Pista	www.cafepista.com		"{""firstbloom_roaster_id"":""104"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Café Pista"",""source_name"":""cafe pista"",""website"":""https://www.cafepista.com/""}"
publisher.firstbloom.105	source_policy.firstbloom.a6cb002.derived_terms	105	Typeface Coffee Roasters	www.typefacecoffeeroasters.com		"{""firstbloom_roaster_id"":""105"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Typeface Coffee Roasters"",""source_name"":""typeface coffee roasters"",""website"":""https://www.typefacecoffeeroasters.com/""}"
publisher.firstbloom.106	source_policy.firstbloom.a6cb002.derived_terms	106	Le Bruloir	www.lebruloir.com		"{""firstbloom_roaster_id"":""106"",""iana_timezone"":""America/Montreal"",""roaster_country_not_inferred"":true,""source_label"":""Le Bruloir"",""source_name"":""le bruloir"",""website"":""https://www.lebruloir.com""}"
publisher.firstbloom.107	source_policy.firstbloom.a6cb002.derived_terms	107	JAVA ROASTERS	www.javaroasters.ca		"{""firstbloom_roaster_id"":""107"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""JAVA ROASTERS"",""source_name"":""java roasters"",""website"":""https://www.javaroasters.ca/""}"
publisher.firstbloom.108	source_policy.firstbloom.a6cb002.derived_terms	108	Magpie Coffee Roasters	www.magpieroasters.com		"{""firstbloom_roaster_id"":""108"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Magpie Coffee Roasters"",""source_name"":""magpie coffee roasters"",""website"":""https://www.magpieroasters.com""}"
publisher.firstbloom.109	source_policy.firstbloom.a6cb002.derived_terms	109	JJ Bean	jjbeancoffee.com		"{""firstbloom_roaster_id"":""109"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""JJ Bean"",""source_name"":""jj bean"",""website"":""https://jjbeancoffee.com""}"
publisher.firstbloom.110	source_policy.firstbloom.a6cb002.derived_terms	110	Quietly Coffee	www.quietlycoffee.com		"{""firstbloom_roaster_id"":""110"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Quietly Coffee"",""source_name"":""quietly coffee"",""website"":""https://www.quietlycoffee.com""}"
publisher.firstbloom.112	source_policy.firstbloom.a6cb002.derived_terms	112	Pure Intentions Coffee	pureintentionscoffee.com		"{""firstbloom_roaster_id"":""112"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Pure Intentions Coffee"",""source_name"":""pure intentions coffee"",""website"":""https://pureintentionscoffee.com/""}"
publisher.firstbloom.113	source_policy.firstbloom.a6cb002.derived_terms	113	New Harvest Coffee	newharvestcoffee.com		"{""firstbloom_roaster_id"":""113"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""New Harvest Coffee"",""source_name"":""new harvest coffee"",""website"":""https://newharvestcoffee.com""}"
publisher.firstbloom.114	source_policy.firstbloom.a6cb002.derived_terms	114	Apex Coffee Roasters	www.apexcoffeeroasters.com		"{""firstbloom_roaster_id"":""114"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Apex Coffee Roasters"",""source_name"":""apex coffee roasters"",""website"":""https://www.apexcoffeeroasters.com""}"
publisher.firstbloom.115	source_policy.firstbloom.a6cb002.derived_terms	115	ST. ALi COFFEE	stali.com.au		"{""firstbloom_roaster_id"":""115"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""ST. ALi COFFEE"",""source_name"":""st. ali coffee"",""website"":""https://stali.com.au""}"
publisher.firstbloom.116	source_policy.firstbloom.a6cb002.derived_terms	116	Speckled Ax	speckledax.com		"{""firstbloom_roaster_id"":""116"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Speckled Ax"",""source_name"":""speckled ax"",""website"":""https://speckledax.com/""}"
publisher.firstbloom.117	source_policy.firstbloom.a6cb002.derived_terms	117	Brandywine Coffee Roasters	www.brandywinecoffeeroasters.com		"{""firstbloom_roaster_id"":""117"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Brandywine Coffee Roasters"",""source_name"":""brandywine coffee roasters"",""website"":""https://www.brandywinecoffeeroasters.com/""}"
publisher.firstbloom.118	source_policy.firstbloom.a6cb002.derived_terms	118	Jebena Specialty Coffee	www.jebenacoffees.com		"{""firstbloom_roaster_id"":""118"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Jebena Specialty Coffee"",""source_name"":""jebena specialty coffee"",""website"":""https://www.jebenacoffees.com""}"
publisher.firstbloom.119	source_policy.firstbloom.a6cb002.derived_terms	119	Hi-Top Coffee	hi-topcoffee.com		"{""firstbloom_roaster_id"":""119"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Hi-Top Coffee"",""source_name"":""hi-top coffee"",""website"":""https://hi-topcoffee.com""}"
publisher.firstbloom.120	source_policy.firstbloom.a6cb002.derived_terms	120	Partners Coffee Roasters	www.partnerscoffee.com		"{""firstbloom_roaster_id"":""120"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Partners Coffee Roasters"",""source_name"":""partners coffee roasters"",""website"":""https://www.partnerscoffee.com""}"
publisher.firstbloom.121	source_policy.firstbloom.a6cb002.derived_terms	121	Discovery Coffee	discoverycoffee.com		"{""firstbloom_roaster_id"":""121"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Discovery Coffee"",""source_name"":""discovery coffee"",""website"":""https://discoverycoffee.com""}"
publisher.firstbloom.122	source_policy.firstbloom.a6cb002.derived_terms	122	Foglifter Coffee	www.fogliftercoffee.com		"{""firstbloom_roaster_id"":""122"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Foglifter Coffee"",""source_name"":""foglifter coffee"",""website"":""https://www.fogliftercoffee.com""}"
publisher.firstbloom.124	source_policy.firstbloom.a6cb002.derived_terms	124	Sey Coffee	www.seycoffee.com		"{""firstbloom_roaster_id"":""124"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Sey Coffee"",""source_name"":""sey coffee"",""website"":""https://www.seycoffee.com/""}"
publisher.firstbloom.125	source_policy.firstbloom.a6cb002.derived_terms	125	Go Get Em Tiger	gget.com		"{""firstbloom_roaster_id"":""125"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Go Get Em Tiger"",""source_name"":""go get em tiger"",""website"":""https://gget.com/""}"
publisher.firstbloom.126	source_policy.firstbloom.a6cb002.derived_terms	126	Elysian Coffee Roasters	elysiancoffee.com		"{""firstbloom_roaster_id"":""126"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Elysian Coffee Roasters"",""source_name"":""elysian coffee roasters"",""website"":""https://elysiancoffee.com""}"
publisher.firstbloom.127	source_policy.firstbloom.a6cb002.derived_terms	127	Cupping Room Coffee Roasters	cuppingroom.hk		"{""firstbloom_roaster_id"":""127"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Cupping Room Coffee Roasters"",""source_name"":""cupping room coffee roasters"",""website"":""https://cuppingroom.hk/""}"
publisher.firstbloom.128	source_policy.firstbloom.a6cb002.derived_terms	128	Morgon Coffee Roasters	www.morgoncoffeeroasters.com		"{""firstbloom_roaster_id"":""128"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Morgon Coffee Roasters"",""source_name"":""morgon coffee roasters"",""website"":""https://www.morgoncoffeeroasters.com/""}"
publisher.firstbloom.129	source_policy.firstbloom.a6cb002.derived_terms	129	Gardelli Specialty Coffee	shop.gardellicoffee.com		"{""firstbloom_roaster_id"":""129"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Gardelli Specialty Coffee"",""source_name"":""gardelli specialty coffee"",""website"":""https://shop.gardellicoffee.com/""}"
publisher.firstbloom.130	source_policy.firstbloom.a6cb002.derived_terms	130	Sump Coffee	www.sumpcoffee.com		"{""firstbloom_roaster_id"":""130"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Sump Coffee"",""source_name"":""sump coffee"",""website"":""https://www.sumpcoffee.com""}"
publisher.firstbloom.131	source_policy.firstbloom.a6cb002.derived_terms	131	Koppi	www.koppi.se		"{""firstbloom_roaster_id"":""131"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Koppi"",""source_name"":""koppi"",""website"":""https://www.koppi.se/""}"
publisher.firstbloom.132	source_policy.firstbloom.a6cb002.derived_terms	132	April Coffee Roasters	www.aprilcoffeeroasters.com		"{""firstbloom_roaster_id"":""132"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""April Coffee Roasters"",""source_name"":""april coffee roasters"",""website"":""https://www.aprilcoffeeroasters.com/""}"
publisher.firstbloom.133	source_policy.firstbloom.a6cb002.derived_terms	133	Passenger Coffee Roasting	www.passengercoffee.com		"{""firstbloom_roaster_id"":""133"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Passenger Coffee Roasting"",""source_name"":""passenger coffee roasting"",""website"":""https://www.passengercoffee.com/""}"
publisher.firstbloom.134	source_policy.firstbloom.a6cb002.derived_terms	134	Kakalove Cafe	www.kakalovecafe.com.tw		"{""firstbloom_roaster_id"":""134"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Kakalove Cafe"",""source_name"":""kakalove cafe"",""website"":""https://www.kakalovecafe.com.tw/""}"
publisher.firstbloom.135	source_policy.firstbloom.a6cb002.derived_terms	135	Bridgehead	www.bridgehead.ca		"{""firstbloom_roaster_id"":""135"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Bridgehead"",""source_name"":""bridgehead"",""website"":""https://www.bridgehead.ca""}"
publisher.firstbloom.136	source_policy.firstbloom.a6cb002.derived_terms	136	Vesta Coffee Roasters	vestacoffee.com		"{""firstbloom_roaster_id"":""136"",""iana_timezone"":""America/Los_Angeles"",""roaster_country_not_inferred"":true,""source_label"":""Vesta Coffee Roasters"",""source_name"":""vesta coffee roasters"",""website"":""https://vestacoffee.com""}"
publisher.firstbloom.137	source_policy.firstbloom.a6cb002.derived_terms	137	MOK Coffee	mokcoffee.be		"{""firstbloom_roaster_id"":""137"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""MOK Coffee"",""source_name"":""mok coffee"",""website"":""https://mokcoffee.be/""}"
publisher.firstbloom.138	source_policy.firstbloom.a6cb002.derived_terms	138	Mayflower Cafe	mayflowercafe.ca		"{""firstbloom_roaster_id"":""138"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Mayflower Cafe"",""source_name"":""mayflower cafe"",""website"":""https://mayflowercafe.ca/""}"
publisher.firstbloom.139	source_policy.firstbloom.a6cb002.derived_terms	139	Carabello Coffee	www.carabellocoffee.com		"{""firstbloom_roaster_id"":""139"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Carabello Coffee"",""source_name"":""carabello coffee"",""website"":""https://www.carabellocoffee.com/""}"
publisher.firstbloom.140	source_policy.firstbloom.a6cb002.derived_terms	140	Fernwood	fernwoodcoffee.com		"{""firstbloom_roaster_id"":""140"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Fernwood"",""source_name"":""fernwood"",""website"":""https://fernwoodcoffee.com""}"
publisher.firstbloom.141	source_policy.firstbloom.a6cb002.derived_terms	141	Five Elephant	www.fiveelephant.com		"{""firstbloom_roaster_id"":""141"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Five Elephant"",""source_name"":""five elephant"",""website"":""https://www.fiveelephant.com""}"
publisher.firstbloom.142	source_policy.firstbloom.a6cb002.derived_terms	142	Contrabean Roasting Company	www.contrabean.ca		"{""firstbloom_roaster_id"":""142"",""iana_timezone"":""America/Toronto"",""roaster_country_not_inferred"":true,""source_label"":""Contrabean Roasting Company"",""source_name"":""contrabean roasting company"",""website"":""https://www.contrabean.ca""}"
publisher.firstbloom.143	source_policy.firstbloom.a6cb002.derived_terms	143	Leuchtfeuer	www.leuchtfeuer.coffee		"{""firstbloom_roaster_id"":""143"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Leuchtfeuer"",""source_name"":""leuchtfeuer"",""website"":""https://www.leuchtfeuer.coffee""}"
publisher.firstbloom.144	source_policy.firstbloom.a6cb002.derived_terms	144	Cafe Lanterne	www.cafelanterne.com		"{""firstbloom_roaster_id"":""144"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Cafe Lanterne"",""source_name"":""cafe lanterne"",""website"":""https://www.cafelanterne.com""}"
publisher.firstbloom.145	source_policy.firstbloom.a6cb002.derived_terms	145	Garage Coffee Bros	garagecoffeebros.com		"{""firstbloom_roaster_id"":""145"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Garage Coffee Bros"",""source_name"":""garage coffee bros"",""website"":""https://garagecoffeebros.com""}"
publisher.firstbloom.146	source_policy.firstbloom.a6cb002.derived_terms	146	Atkinsons Coffee Roasters	thecoffeehopper.com		"{""firstbloom_roaster_id"":""146"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Atkinsons Coffee Roasters"",""source_name"":""atkinsons coffee roasters"",""website"":""https://thecoffeehopper.com""}"
publisher.firstbloom.147	source_policy.firstbloom.a6cb002.derived_terms	147	Heilandt	www.heilandt.de		"{""firstbloom_roaster_id"":""147"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Heilandt"",""source_name"":""heilandt"",""website"":""https://www.heilandt.de""}"
publisher.firstbloom.148	source_policy.firstbloom.a6cb002.derived_terms	148	Monkland Coffee Roasters	monklandcoffee.com		"{""firstbloom_roaster_id"":""148"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Monkland Coffee Roasters"",""source_name"":""monkland coffee roasters"",""website"":""https://monklandcoffee.com""}"
publisher.firstbloom.150	source_policy.firstbloom.a6cb002.derived_terms	150	Social Coffee	www.socialcoffee.com		"{""firstbloom_roaster_id"":""150"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Social Coffee"",""source_name"":""social coffee"",""website"":""https://www.socialcoffee.com""}"
publisher.firstbloom.151	source_policy.firstbloom.a6cb002.derived_terms	151	Hasbean	www.hasbean.co.uk		"{""firstbloom_roaster_id"":""151"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Hasbean"",""source_name"":""hasbean"",""website"":""https://www.hasbean.co.uk""}"
publisher.firstbloom.152	source_policy.firstbloom.a6cb002.derived_terms	152	Pablo and Rustys	shop.pabloandrustys.com.au		"{""firstbloom_roaster_id"":""152"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Pablo and Rustys"",""source_name"":""pablo and rustys"",""website"":""https://shop.pabloandrustys.com.au""}"
publisher.firstbloom.153	source_policy.firstbloom.a6cb002.derived_terms	153	Bolt Coffee Company	www.boltcoffeecompany.com		"{""firstbloom_roaster_id"":""153"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Bolt Coffee Company"",""source_name"":""bolt coffee company"",""website"":""https://www.boltcoffeecompany.com""}"
publisher.firstbloom.154	source_policy.firstbloom.a6cb002.derived_terms	154	Bonanza Coffee Roasters	bonanzacoffee.de		"{""firstbloom_roaster_id"":""154"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Bonanza Coffee Roasters"",""source_name"":""bonanza coffee roasters"",""website"":""https://bonanzacoffee.de""}"
publisher.firstbloom.155	source_policy.firstbloom.a6cb002.derived_terms	155	Mala Czarna	www.facebook.com		"{""firstbloom_roaster_id"":""155"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Mala Czarna"",""source_name"":""mala czarna"",""website"":""https://www.facebook.com/pg/palarniamalaczarna/shop""}"
publisher.firstbloom.156	source_policy.firstbloom.a6cb002.derived_terms	156	Verve Coffee Roasters	www.vervecoffee.com		"{""firstbloom_roaster_id"":""156"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Verve Coffee Roasters"",""source_name"":""verve coffee roasters"",""website"":""https://www.vervecoffee.com""}"
publisher.firstbloom.157	source_policy.firstbloom.a6cb002.derived_terms	157	Quills Coffee	www.quillscoffee.com		"{""firstbloom_roaster_id"":""157"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Quills Coffee"",""source_name"":""quills coffee"",""website"":""https://www.quillscoffee.com""}"
publisher.firstbloom.158	source_policy.firstbloom.a6cb002.derived_terms	158	DOMA Coffee Roasting Company	domacoffee.com		"{""firstbloom_roaster_id"":""158"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""DOMA Coffee Roasting Company"",""source_name"":""doma coffee roasting company"",""website"":""https://domacoffee.com""}"
publisher.firstbloom.159	source_policy.firstbloom.a6cb002.derived_terms	159	Kickapoo Coffee Roasters	kickapoocoffee.com		"{""firstbloom_roaster_id"":""159"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Kickapoo Coffee Roasters"",""source_name"":""kickapoo coffee roasters"",""website"":""https://kickapoocoffee.com""}"
publisher.firstbloom.160	source_policy.firstbloom.a6cb002.derived_terms	160	Modus Coffee Roasters	www.moduscoffee.com		"{""firstbloom_roaster_id"":""160"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Modus Coffee Roasters"",""source_name"":""modus coffee roasters"",""website"":""http://www.moduscoffee.com""}"
