cleaned_output_atom_id	component_concept_id	relation_type	evidence_authority	review_required
cleaned-output-atom:0132069579f492afcb482719	sensory.orange	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:01388581be80dfd7baec1298	sensory.apple	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:0140f8eb423bb1d2c58f1028	sensory.raisin	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:0142a7053aefa780711fc348	sensory.lemon	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:01454c798b89196217542629	sensory.rose	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:015f3881f1da9d04ed20b534	sensory.butter	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:0165bef13098b20c40339e18	sensory.lemongrass	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:0166cf0d4162e0390f4975b5	sensory.salty	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:016a31e69eede54c8198407c	sensory.apple	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:016e6e4f4e12750318d3dda4	sensory.lemongrass	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:016f3bebc7aa641da080c2cf	sensory.lime	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:0176f72f7ded72f26572b0a5	sensory.pomegranate	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:0177ece8844884f2a561b531	sensory.bergamot	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:0179651e61ae65c638f7f2a0	sensory.sweet	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:017e131fa77c5228a6ece705	sensory.apple	COMPONENT_OF	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
