candidate_key	candidate_inventory_sha256	normalized_expression_sha256	raw_variant_count	occurrence_count	document_count	raw_surface_hash_inventory_sha256	source_document_inventory_sha256	candidate_text_retained
round3i.firstbloom.sha256_068f6e55134d4809e410343c1967c7eae0abf3e1251bf4887c1c9a0588aaf8c0	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	068f6e55134d4809e410343c1967c7eae0abf3e1251bf4887c1c9a0588aaf8c0	1	1	1	40c3dca5794a3943e9fac49d3d74d79f5f38875d1248e202393063f6c8b9ff9a	9b3db3fedbfa4f51d6cacb1cfce4420a2f335173520f5b0008e5dc4ce770012a	false
round3i.firstbloom.sha256_06c0983399e55c7c4218704751aa0eb447f3a0d5922971eaa0ab8da30a846284	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	06c0983399e55c7c4218704751aa0eb447f3a0d5922971eaa0ab8da30a846284	1	1	1	8db5b2ebc8acdf441c4dc41a3dfa89fdec03c846a3568aef97bbdca7bd50f22e	6f045882a337236bd6ade388c607a0c6aedbc784b5ddedb471d5c1d840cf5e84	false
round3i.firstbloom.sha256_0751827468cd4b24a7340f59e1ce9431df2367b97277ae717a1b249261d7d977	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	0751827468cd4b24a7340f59e1ce9431df2367b97277ae717a1b249261d7d977	1	1	1	50668e626b3b0bfc37e7ec966811ac8df62961419e588d97f29df76ca37aed18	e06f9f0e132a296ca5a08aa09f9e9a15559ce7711fd32b8c9741139ee07b3d58	false
round3i.firstbloom.sha256_07a407c6cad8de1afc2853f72ea581ac3d66ab97168aa9a19e2e4eac0ced5991	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	07a407c6cad8de1afc2853f72ea581ac3d66ab97168aa9a19e2e4eac0ced5991	2	2	2	c09f3bcd60e23be9302f3b626f677f4c6302ead7034d06ae84b6a932606cecaa	65feebc061f660e33ab2c25b3c2114266ab9a3cca3c6d75caa9a2690dab37946	false
round3i.firstbloom.sha256_0843a52cdc9eec1d74b47823e2c55e0d5c17e4060edb45ac4ad4e8618e303189	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	0843a52cdc9eec1d74b47823e2c55e0d5c17e4060edb45ac4ad4e8618e303189	1	1	1	d65c47f69ae0e1917f20fc88844776069eeaeaaf79f37beedf430656ac9f0974	aeef7f47cd74426a65d48460deafa5b03bc3378b04448d33b60ca3bf91f1609d	false
round3i.firstbloom.sha256_087b6b0ab2d226eac6116cd93c1134910b4ca0eb54f2f1fbbcddf5f9ebb15336	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	087b6b0ab2d226eac6116cd93c1134910b4ca0eb54f2f1fbbcddf5f9ebb15336	1	1	1	aab45f88920316492f4fc3eebe6e5f8f5817a624aa8f25d524bab0501d25702e	9b7334ea0c6fb2de78b2eea67ac6bdf37d02f0c2875a8cc11fc550650cdabdb7	false
round3i.firstbloom.sha256_08a82689915e88d615cb3d450a4d78aa243dffc0d9635add056fe5b2f20c11de	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	08a82689915e88d615cb3d450a4d78aa243dffc0d9635add056fe5b2f20c11de	1	1	1	91571e1d93bb8263e8850c58cf4c14a8dff2e459e1942408bf5c0e09ce521e46	bd554809480d909e4644992de44a02e1eeb657ce40771ac65b8b836fe11f6b04	false
round3i.firstbloom.sha256_08fc63f738ee5d55e887079b3030f71e2dac64ccb124668316ec0c7b8344754b	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	08fc63f738ee5d55e887079b3030f71e2dac64ccb124668316ec0c7b8344754b	1	1	1	0207a0688872717f2076f4bb69e571861fee729f496a1404f9d9e81141acc8ab	142972eb5fda5c71c7d6044ae683078c347d1a70fdd4525daba5ee785ae9f990	false
round3i.firstbloom.sha256_09009096fc76361fdb21edb819cc916cb029497d3db9c10ed73cbd5aaf010a5a	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	09009096fc76361fdb21edb819cc916cb029497d3db9c10ed73cbd5aaf010a5a	1	2	2	8f649fbf94b2befce45ad15750707831ff5b2bc03c06a057f50908eb5c846638	da3e647f5111fa5850c9d6a7a205e2c28d71d09d8baf203265176c28e2a5fec7	false
round3i.firstbloom.sha256_0902e0e0127e76114e526f0e0741881d6fbcbca7fc749f2a2b1d8214fd91b00b	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	0902e0e0127e76114e526f0e0741881d6fbcbca7fc749f2a2b1d8214fd91b00b	1	1	1	e02de3ac5c326b9720ff9f20e7d97dcc1b8344be80464fc9d4a4a33b86688631	8ac39d844d05b7e589c55edfa56009db180620b047f25dba2f4279f8167f6dd1	false
round3i.firstbloom.sha256_091c4a8f5adbb701bbe31847fa9611665d02e8c23743c5130ab0895aecc17527	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	091c4a8f5adbb701bbe31847fa9611665d02e8c23743c5130ab0895aecc17527	1	1	1	557fa38c774572908c7ef0bf598eadc8714b1d030e1c353055feacfdc8dd45a7	86b8f4e563259f4babb52d0e42b0a6718eeb8e748cf8fa9fc8025f22b64b9afc	false
round3i.firstbloom.sha256_0931055aa6b95202c0054405ac712297aa20b1c62ccbfa8f4770be423e7d9e66	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	0931055aa6b95202c0054405ac712297aa20b1c62ccbfa8f4770be423e7d9e66	1	1	1	f6602ef162eb085e2f01cf134f77240e116887fadf1709c67a35d7217d8f0153	1b380147258e24c6df4b9907aea5209515af3d5757c86d85c5a1cda5f80bc94b	false
round3i.firstbloom.sha256_0931e2d44f91dccb3310af79bd4644e442cc3c3fb461a0f2412064c1a289174b	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	0931e2d44f91dccb3310af79bd4644e442cc3c3fb461a0f2412064c1a289174b	1	1	1	8320098e38b6d93d7beeb72f35bb413a1e3d4d37bc788fef0e5f1cadad46d00d	f3e827ced47381616520301c73f8decaafb519c13c2772a84c66e8cc34279035	false
round3i.firstbloom.sha256_098a45810711fba708859d4b14fb6367f605e2bf8b6be73240ebd8aed36a25a1	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	098a45810711fba708859d4b14fb6367f605e2bf8b6be73240ebd8aed36a25a1	1	1	1	5764770a0ecc1f17cd42781c85581c94f057a5e1200bc91830f712e5cc1c37a3	42ae4bdda4aa5b0c91c11664278248de70c82d5b0c4e8849348c7887f63c31a4	false
round3i.firstbloom.sha256_09e20b517cdac939b1e679946a6fbdcc820312f49c41cfd1c25797e3f7c26dc7	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	09e20b517cdac939b1e679946a6fbdcc820312f49c41cfd1c25797e3f7c26dc7	1	2	2	47b5cfcac35db6ab98553bec8b6a45889ee5c634c6866b33226c5dffbd35c9e3	75adacd6e62cd7ea108397d2cefce4838669739c30c7c4b971459de07a1a2a0d	false
round3i.firstbloom.sha256_09f2e1528f33e3fed5f0530143d967bedfd4c2b30539cc5a2d1644b0b08271c3	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	09f2e1528f33e3fed5f0530143d967bedfd4c2b30539cc5a2d1644b0b08271c3	1	1	1	9529f2dca855a5674fd85dc6fe9ac5e4683b61eee42d9fa643177973a71fd6e9	22f0f3805c91a7688a193d27005ed0d4ed53fe4907d0a13fd148c62a8af56771	false
round3i.firstbloom.sha256_0a16d3848854063b74ea1db18d5a4b6dd769e1370144f037a80485f164413615	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	0a16d3848854063b74ea1db18d5a4b6dd769e1370144f037a80485f164413615	1	1	1	fee3be2ae29caae6938ad615078de1ea249de5552d3c4ebd20506bdad9b82a39	077f17ca1e55d4fd0824d77aa4fbda1b88365fa9153abbc506988c483b9fe7af	false
round3i.firstbloom.sha256_0a2562424d97b71d9d8acc0e12e9f73c6849191ef7792b096c16e59c7171c68a	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	0a2562424d97b71d9d8acc0e12e9f73c6849191ef7792b096c16e59c7171c68a	2	2	2	fb66dbfce02538df7315f380731c48d0907830367633136d5d888d6eeb2fdbb0	62d3c3f945bc43cf1c1715b7e341b662735a15c0b512d0b687f232d7d448a38b	false
round3i.firstbloom.sha256_0aca06a6aaa9735fcd11ee3f9714cc11f7ba8f03239efcb4ff0dc9f76bd3cff2	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	0aca06a6aaa9735fcd11ee3f9714cc11f7ba8f03239efcb4ff0dc9f76bd3cff2	1	1	1	0cbbf480b25d56a466ebf8024989a5b1a366cded43d3eabf18dee8fd27df1aa4	0a6136031e1262e4818f449787c7e56aa9be5dc91566f652160094599542fdd0	false
round3i.firstbloom.sha256_0afba1fadf4e5d1292eb409cc965170fca343fbdfea7c6cfb26de8d1909cb229	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	0afba1fadf4e5d1292eb409cc965170fca343fbdfea7c6cfb26de8d1909cb229	1	1	1	2fe6ad15a4b2980426b4908bbe5bcdd55783f317719693022e672d1c7a9d1994	a9de9015cb7fb6f6e8df0f44244209bac3c7e27656e67e56ec8b76bdce9fd2e9	false
round3i.firstbloom.sha256_0b2c2de8dd15385f75ce0574b239e136ffcf36ff475d1db10a4fa878ae9ea3a4	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	0b2c2de8dd15385f75ce0574b239e136ffcf36ff475d1db10a4fa878ae9ea3a4	1	1	1	65661ac341c412a0b6cfbc921753bb7a026989575623385de354c61cec83a972	28dbcd51be9f6900822bf638f6fea03dce9973ca3bc6d84e000da0cccb234902	false
round3i.firstbloom.sha256_0b671abe613b4e477efc262b4fe4754e33f814c3b8992231257de87153a56e7f	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	0b671abe613b4e477efc262b4fe4754e33f814c3b8992231257de87153a56e7f	1	1	1	d6dbaa960eec534df3d5aa5039d696d8b139f24631efa278a627f3aaf6bbe645	3471129c8f3f0a29fed28332dda0492e0013946662ff2f3774f4324ee9dcdd2e	false
round3i.firstbloom.sha256_0bd998672b54bb6b8e2fc6fb8fc92617256e8e71b97511b2bd7116e95becddf1	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	0bd998672b54bb6b8e2fc6fb8fc92617256e8e71b97511b2bd7116e95becddf1	1	1	1	96151e2fe421f00d80392e6ea2ac00f9a923f24f4386e5894ab3f6141cede48d	dbc824ab8ddc8c4ddb73347e8d1ef8cb0b02fae4990fd52660d7ef1646f17d20	false
round3i.firstbloom.sha256_0c3ba6c2e1019d229434e7d295c04ec85536fd699a8bc207f25acc62475be79e	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	0c3ba6c2e1019d229434e7d295c04ec85536fd699a8bc207f25acc62475be79e	1	1	1	17c4dbf59520adf298aa4791f840f055bff6bb7f0b1afb713ab7325e60f2b34d	0a1d3a2b3b292be06c8ea991572f8b0363432c3f38988d65d1c00f31cc3a9fb1	false
