Source,Type,Roast,Extraction,Stat,Other,Units,Citric,Formic,Malic,Pyruvic,Quinic,Succinic,Acetic,Oxalic,Fumaric,Tartaric,Lactic,Glycolic,Nitric,Mesaconic ,Maleic,Isocitric,Citraconic,Propionic,2-Furoic ,Pyroglutamic,Phosphoric,Levulinic Acid,Methylsuccinic,Nicotinic,Ascorbic,Hydroxybenzoic,Total,Notes , , , , , , , , , , 
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,,,1216,,466,,,,1942,,,1066,,,,,,,,,,,,,,234,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,,,1878,,492,,,,2270,,,1024,,,,,,,,,,,,,,382,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,,,2066,,718,,,,3338,,,1408,,,,,,,,,,,,,,358,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,12g,,1056,,414,,,,1566,,,818,,,,,,,,,,,,,,214,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,,,1146,,452,,,,1522,,,840,,,,,,,,,,,,,,218,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,,,1808,,420,,,,2486,,,950,,,,,,,,,,,,,,262,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,,,1640,,526,,,,1498,,,934,,,,,,,,,,,,,,296,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,14g,,1386,,342,,,,1170,,,664,,,,,,,,,,,,,,272,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,,,2424,,706,,,,2254,,,1186,,,,,,,,,,,,,,280,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,,,2232,,532,,,,2332,,,1026,,,,,,,,,,,,,,222,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,,,2622,,628,,,,2804,,,920,,,,,,,,,,,,,,282,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,12g,,926,,238,,,,880,,,486,,,,,,,,,,,,,,222,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,,,1046,,336,,,,1092,,,564,,,,,,,,,,,,,,142,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,,,2024,,542,,,,2106,,,924,,,,,,,,,,,,,,214,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,,,1448,,424,,,,1608,,,534,,,,,,,,,,,,,,170,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,14g,,1150,,372,,,,1650,,,948,,,,,,,,,,,,,,168,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,,,1998,,546,,,,2486,,,1284,,,,,,,,,,,,,,296,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,,,1482,,418,,,,2070,,,930,,,,,,,,,,,,,,328,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,,,2190,,542,,,,2902,,,1154,,,,,,,,,,,,,,334,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,12g,,940,,320,,,,1446,,,768,,,,,,,,,,,,,,174,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,,,1288,,378,,,,1498,,,868,,,,,,,,,,,,,,210,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,,,1214,,382,,,,1704,,,778,,,,,,,,,,,,,,284,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Arabica,Medium,Espresso,,,,2006,,596,,,,2646,,,1156,,,,,,,,,,,,,,328,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,14g,,1070,,304,,,,1008,,,562,,,,,,,,,,,,,,280,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,,,3204,,654,,,,2468,,,1192,,,,,,,,,,,,,,592,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,,,2544,,598,,,,2170,,,950,,,,,,,,,,,,,,232,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,,,2524,,606,,,,2674,,,884,,,,,,,,,,,,,,216,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,12g,,820,,226,,,,790,,,438,,,,,,,,,,,,,,212,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,,,1262,,378,,,,1052,,,612,,,,,,,,,,,,,,248,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,,,1366,,390,,,,1356,,,598,,,,,,,,,,,,,,128,,,,,,,,,,,,,,
Khamitova et al. (2020) [#1],Robusta,Medium,Espresso,,,,1670,,414,,,,1720,,,562,,,,,,,,,,,,,,186,,,,,,,,,,,,,,
Jeska-Skowron & Zgoła-Grześkowiak (2017),Robusta,Green,filter,,"assume full extraction, .5g/50mL",,8522,,2991,,3875,,,,,2540,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeska-Skowron & Zgoła-Grześkowiak (2017),Robusta,Roasted,filter,,,,10164,1972,2572,,14864,,,,,8731,2141,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeska-Skowron & Zgoła-Grześkowiak (2017),Arabica,Green,filter,,,,11972,,3606,,5549,,,,,1693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeska-Skowron & Zgoła-Grześkowiak (2017),Arabica,Roasted,filter,,,,10624,1699,3198,,11924,,,,,2540,667,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeska-Skowron & Zgoła-Grześkowiak (2017),Arabica,Green,filter,,,,9356,,3673,,5124,,,,,1356,,,,,,,,,,,,,,,,1212,,,,,,,,,,,,
Jeska-Skowron & Zgoła-Grześkowiak (2017),Arabica,Roasted,filter,,,,10549,3849,3624,,10740,,,,,2647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeska-Skowron & Zgoła-Grześkowiak (2017),Arabica,Green,filter,,,,8035,,3466,,4083,,,,,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeska-Skowron & Zgoła-Grześkowiak (2017),Arabica,Roasted,filter,,,,9581,2758,2451,,16603,,,,,3050,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeska-Skowron & Zgoła-Grześkowiak (2017),Arabica,Green,filter,,,,11827,,3115,,4838,,,,,1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeska-Skowron & Zgoła-Grześkowiak (2017),Arabica,Roasted,filter,,,,10175,3460,2240,,10849,,,,,3148,785,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeska-Skowron & Zgoła-Grześkowiak (2017),Arabica,Green,filter,,,,8538,,3707,,4743,,,,,2079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeska-Skowron & Zgoła-Grześkowiak (2017),Arabica,Roasted,filter,,,,10908,3360,2727,,13160,,,,,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
